# ../water-data/level1//L100.runoff_B_bm3.csv
# Written by L100.water.supply.runoff.R
# Wed Mar 28 06:29:47 2018
# " Accessable freshwater runoff by basin ID / Historical and future years "
# " Unit = billion m^3 "
"basin.id","X1975","X1990","X2005","X2010","X2015","X2020","X2025","X2030","X2035","X2040","X2045","X2050","X2055","X2060","X2065","X2070","X2075","X2080","X2085","X2090","X2095","X2100"
77,48.38,42.15,51.83,47.09,42.47,44.1,50.98,41.73,44.83,46.54,47.42,43.09,54.2,49.76,47.08,46.59,53.9,46.01,48.03,50.81,52.76,46.75
78,135.51,123.03,128.29,132.44,110.57,116.52,135.08,114.26,121.74,121.33,121.92,128.95,129.82,133.78,112.03,118.48,137.34,116.14,124.33,124,124.2,131.74
79,107.29,97.97,104.14,117.1,114.61,110.64,117.54,107.96,116.14,120.07,118.65,120.05,115.76,128.1,127.29,122.75,131.41,123.61,133.8,137.39,132.35,136.46
80,23.37,21.58,23.39,20.94,21.38,22,22.12,21.89,20.76,22.03,21.24,19.87,21.66,19.23,19.05,20.1,19.53,19.47,18.16,18.74,18.32,16.8
81,10.43,10.03,9.34,11.41,13.18,11.53,10.24,10.91,11.18,10.23,13.48,8.71,8.33,9.97,11.92,10.06,8.73,9.73,9.43,8.44,11.64,7.1
82,16,15.84,17.9,11.46,11.68,15.06,15.29,16.91,14.32,15.61,13.73,14.24,16.65,10.36,10.88,13.83,13.94,15.8,12.83,14.33,12.1,12.28
83,7.38,7.79,6.47,8.52,9.18,8.98,6.81,7.03,7.19,8.19,10.33,6.6,5.58,7.38,8.22,7.83,5.65,6.09,6.1,6.58,8.58,5.1
84,67.63,77.45,75.62,50.65,66.66,79.22,59.78,68.82,62.05,70.96,60.72,54.54,67.65,44.38,58.05,68.6,50.45,58.74,53.1,60.25,50.36,38.95
85,25.28,31.11,29.06,23.9,30.77,29.34,32.41,30.93,31.25,36.36,32.96,34.51,36.97,33.2,39.91,39.49,44.11,43.45,44.77,49.53,46.64,45.23
86,19.54,20.8,25.33,19.22,24.37,24.98,18.16,17.46,14.81,20.65,24.61,21.12,24.18,17.05,22.88,23.5,16.47,14.94,12.42,18,22.26,17.03
87,395.02,389.7,426,445.85,429.75,360.4,379.16,348.96,319.77,397.61,383.27,398.36,406.51,427.45,410.5,342.97,365.16,336.22,305.6,383.28,368.75,395.96
88,5.01,5.37,6.14,4.19,4.37,4.44,4.83,6.17,4.04,4.45,4.56,4.88,5.61,3.78,4.04,3.95,4.3,5.6,3.5,4.08,4.15,4.05
89,105.83,96.53,98.82,88.61,83.02,71.59,103.52,101.11,83.65,95.22,90.21,69.3,101.17,91.64,85.66,76.08,110.82,109.5,92.44,103.57,101.34,82.11
90,1.82,2.02,2.07,1.75,0.88,1.51,1.86,2.3,1.2,1.88,1.58,1.33,1.89,1.65,0.76,1.31,1.74,2.07,1.16,1.74,1.37,1.08
91,0.6,0.51,0.19,0.64,0.62,0.2,0.62,0.9,0.93,0.37,0.36,0.4,0.22,0.65,0.62,0.24,0.58,0.91,0.95,0.37,0.35,0.21
92,40.21,39.87,30.27,31.32,38.22,38.62,47.91,47.53,44.32,54.96,40.81,52.82,40,41.41,52.19,53.59,65.38,65.83,62.67,77.07,61.31,71.61
93,1.39,0.94,1.88,1.46,2.32,0.97,1.73,0.69,1.01,1.48,1.95,1.98,2.12,1.59,2.63,1.21,2.06,1.19,1.38,1.9,2.26,1.97
94,3.08,1.63,2.08,2.04,2.39,2.22,3.66,1.85,1.47,1.92,2.8,1.63,2.42,2.37,2.87,2.76,4.17,3.02,2.77,3.65,4.7,4.01
95,1.07,2.04,2.1,0.65,1.45,1.45,1.1,1.33,1.02,1.71,1.14,0.88,1.98,0.55,1.29,1.28,0.91,1.16,0.86,1.53,0.94,0.49
96,27.15,32.4,20.11,30.94,26.45,29.34,25.39,28.11,34.84,35.42,25.88,16.82,19,28.33,24.42,27.05,23.52,25.74,31.89,32.34,23.24,16.72
97,9.33,11.69,9.72,9.42,7.02,7.36,8.78,11.61,7.8,10.5,7.3,7.2,9.18,8.8,6.43,6.65,8.21,10.53,6.96,9.66,6.66,6.16
98,0.01,0.05,0.01,0,0.02,0.02,0.01,0.01,0.01,0.05,0.01,0,0,0,0.01,0.01,0.01,0.01,0,0.03,0,0
99,0.77,0.91,1.06,0.54,0.81,0.81,0.62,0.82,0.64,0.73,0.88,0.55,0.89,0.4,0.64,0.62,0.45,0.59,0.46,0.52,0.65,0.11
100,5.57,2.94,2.98,1.51,3.22,2.2,3.94,2.86,1.11,2.75,3.32,2.47,3.25,1.97,3.65,2.7,4.51,3.48,1.83,3.31,3.77,3.27
101,26.91,29.47,31.74,34.39,30.11,35.5,26.61,34.64,25.07,26.88,31.22,32.67,30.38,32.69,28.59,33.36,25.14,32.32,23.69,25.17,29.46,29.26
102,0.79,1.08,1.04,0.8,0.33,0.65,0.83,1.42,0.65,1.18,0.83,0.78,1.1,0.91,0.45,0.78,0.99,1.59,0.88,1.37,1.09,0.93
103,15.74,13.85,11.91,13.81,9.53,13.99,15.18,11.81,13.06,14.03,10.72,14.7,11.85,13.84,9.58,13.97,15.12,11.91,13.08,14.14,10.96,14.69
104,1.84,2.26,2.42,2.34,0.96,1.75,1.9,2.41,1.63,2.46,2.31,2.23,2.57,2.56,1.45,2.15,2.43,2.73,2.47,2.82,2.8,2.8
105,12.47,10.91,10.47,11.34,10.68,12.06,12.47,10.23,10.39,11.35,10.01,10.36,9.84,10.74,9.95,11.15,11.52,9.53,9.51,10.41,9.27,9.84
106,509.07,474.14,517.97,479.94,480.32,480.97,515.57,485.75,499.37,485.22,479.4,514.81,529.71,493.22,499,497.73,539.28,509.26,524.75,514.46,507.79,554.98
107,11.67,5.7,11.44,10.22,8.3,6.36,12.28,9.44,6.55,7.77,11.04,7.56,13.4,12.36,10.29,8.41,15.82,12.38,9.08,11.37,14.96,11.68
108,98.73,78.7,87.97,90.46,76.4,97.16,100.46,93.56,82.88,79.13,98.14,96.8,90.09,93.02,79.24,100.41,104.47,98.14,87.97,83.49,103.77,99.24
109,51.81,39.25,47.94,46.36,46.1,57.23,52.33,56.14,51.72,40.97,57.75,51.69,48.52,47.22,47.02,58.05,53.4,57.6,53.26,42.98,59.24,52.12
110,588.25,559.63,591.69,597.9,540.6,573.69,624.78,600.69,626.94,636.49,600.8,664.4,659.41,673.03,621.09,663.61,729.16,706.21,735.86,754.63,724.39,766.07
111,42.48,50.99,49.47,46.21,44.77,38.16,39.58,45.48,35.55,46.56,40.55,38.64,46.06,42.98,41.1,34.35,35.4,40.53,31.36,41.83,36.1,28.92
112,16.41,12.84,13.92,15.44,13.92,17.32,16.76,16.97,16.73,13.32,17.73,16.48,14.2,15.86,14.37,17.75,17.45,17.71,17.49,13.99,18.43,16.13
113,7.07,5.03,7.62,6.54,5.41,5.81,7.54,5.87,5.18,6.14,7.6,5.11,8.4,7.45,6.34,6.63,8.69,6.9,6.12,7.42,9.09,6.88
114,6.95,6.44,3.45,5.78,5.64,6.42,6.39,6.13,6.01,6.17,5.72,4.76,2.93,5.57,5.28,6.05,5.83,5.9,5.69,5.8,5.3,5.41
115,7.8,7.87,9.04,9.71,9.33,10.08,7.52,7.24,8.96,7.62,8.06,9.97,8.87,9.46,9.09,9.92,7.27,7.06,8.59,7.41,7.91,9.22
116,93.63,83.23,95.24,90.14,90.61,90.71,94.12,81.42,90.2,86.98,95.07,101.1,96.54,91.65,92.33,92.37,95.98,83.52,92.31,89.24,97.59,94.65
117,20.13,18.21,19.14,20.26,17.47,18.09,20.93,17.74,18.22,19.18,19.81,16.71,19.96,21.29,18.41,19.18,22.23,19.07,19.52,20.63,21.43,20.05
118,17.75,17.61,16.66,17.69,15.52,21.53,18.05,17.59,18.2,19.57,19.6,16.83,18.15,19.22,17.27,23.49,20.2,19.8,20.48,21.86,21.93,18.19
119,118.76,121.86,125.46,127.85,115.05,115.33,114.96,90.75,124.4,122.9,108.36,128.67,126.54,128.79,116.65,117.18,117.01,92.73,126.57,125.77,111.21,135.12
120,10.59,10.15,10.07,11.25,9.72,12.91,10.84,10.59,11.21,11.84,12.1,9.56,11.23,12.38,11.05,14.31,12.38,12.21,12.99,13.62,13.91,10.63
121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,37.69,36.7,40.44,42.36,36.28,41.23,38.85,41.72,41.1,43.27,41.26,35.8,43.46,45.81,40.1,45.33,43.07,46.35,45.83,48.29,46.65,39.54
123,69.97,70.89,85.13,81.33,65.54,67.29,70.81,77.54,69.71,77.52,73.21,65.05,89.1,85.89,70.66,72.21,76.82,83.32,75.42,84.52,80.43,76.9
124,13.85,13.5,13.71,12.79,13.9,13.39,14.04,15.93,11.96,14.55,14.44,14.87,14.03,13.13,14.26,13.87,14.52,16.51,12.47,15.09,14.91,14.24
125,280.15,265.11,297.83,305.25,308.18,284.21,281.59,279.41,263.99,277.31,306.6,316.55,294.41,303.88,306.46,282.27,281.66,279.4,266.23,279.59,306.77,297.71
126,58.04,51.94,60.37,58.41,58.31,54.87,58.58,61.21,55.94,55.94,57.16,63.15,60.03,58.17,58.04,54.75,58.43,61.22,55.84,55.9,57.18,60.07
127,65.98,55.38,72.38,65.7,59.57,66.74,69.09,57.58,61.86,61.31,73.54,76.24,76.9,70.61,66.08,73.27,75.94,66.6,70.61,71.73,83.07,77.24
128,6.18,6.84,7.43,8.01,6.03,5.17,6.26,6.5,5.62,7.14,6.87,6.64,7.93,8.69,6.78,5.8,7.05,7.32,6.44,8.15,7.88,6.74
129,66.59,68.61,75.24,81.85,68.5,58.19,68.42,66.14,59.18,71.38,72.33,62.08,77.55,84.26,71.26,61.27,71.77,69.61,62.87,75.14,76.4,67.86
130,29.95,29.26,29.4,33.6,28.87,31.43,28.67,28.72,26.63,31.64,27.84,29.89,27.81,31.85,27.13,29.55,26.74,26.66,24.65,29.42,25.5,26.97
131,22.95,20.19,19.08,22.27,22.06,22.26,22.22,18.58,20.08,20.9,19.19,20.21,18.29,21.64,21.61,21.83,21.3,17.74,19.75,20.58,19.02,20.51
132,18.96,10.91,11.31,12.16,13.49,15.53,17.32,10.22,11.24,12.26,10.6,12.35,10.65,11.39,12.73,14.15,15.91,9.66,10.19,11.5,10.05,12.16
133,98.6,115.68,105.36,112.95,100.37,95.7,92.49,97.51,80.99,106.61,95.63,92.79,99.81,106.86,94.03,89.16,85.96,89.86,74.17,98.11,87.95,74.77
134,36.38,26.89,36.27,36.33,33.91,33.4,36.07,28.83,31.8,29.86,29.97,30.59,35.07,34.97,32.18,31,34.7,26.21,28.7,27.74,27.71,29.78
135,236.59,225.8,236.75,226.62,216.11,251.15,210.84,255.09,188.35,239.72,220.02,224.05,221.09,209.74,199.02,231.81,192.39,232.24,169.5,218.01,199.04,200.6
136,22.08,23.3,20.11,24.9,22,22.73,22,20.5,14.26,23.69,19.87,20.42,18.31,22.82,19.83,20.42,19.66,17.84,12.15,20.8,17.02,16.36
137,207,188.41,213.09,198.94,188.11,186.81,207.75,171.17,188.21,196.41,206.2,217.55,218.36,204.82,195.03,194.22,216.12,181.67,198.07,207.23,217.94,202.37
138,24.74,18.33,25.26,23.89,20.87,26.09,24.59,20.01,19.29,21.28,26.27,25.97,26.13,24.64,21.91,27.22,25.82,21.32,20.53,22.76,27.73,24.01
139,246.22,221.01,269.26,243.77,259.52,252.93,242.28,232.19,238.38,229.19,247.95,279.08,268.42,243.57,259.12,253.52,243.15,233.74,238.94,230.71,249.67,289.94
140,65.78,59.13,73.23,68.58,59.15,49.14,71.4,60.65,50.17,66.85,62.77,53.12,80.19,75.03,66.77,55.98,81.38,68.72,58.23,78.07,74.78,70.55
141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,334.95,330.31,433.13,390.71,418.59,356.67,323.16,334.46,300.48,345.69,365.64,389.12,419.21,377.9,402.81,342.57,309.41,321.27,286.15,330.79,350.19,350.98
143,112.97,103.31,93.68,86.29,93.56,96.64,109.99,109.68,98.68,91.6,90.37,101.13,87.39,79.54,86.09,87.32,100.73,98.49,88.73,81.58,80.56,103.62
144,10.12,9.86,13.31,11.55,11.23,8.39,8.34,7.59,7.49,9.96,8.92,9.12,12.12,10.66,10.01,7.04,7.09,6.67,6.66,9.04,8.38,7.48
